Bandit,Reward,Algorithm
3.0,5.082138032079849,EpsilonGreedy
3.0,3.847757429054286,EpsilonGreedy
3.0,4.826048225764709,EpsilonGreedy
3.0,3.3992072606694754,EpsilonGreedy
3.0,5.1224261320848035,EpsilonGreedy
3.0,4.115124922506369,EpsilonGreedy
3.0,5.1925251188985975,EpsilonGreedy
0.0,0.4446237962811105,EpsilonGreedy
3.0,2.845055354458175,EpsilonGreedy
3.0,5.666302398161207,EpsilonGreedy
3.0,3.9874836469602277,EpsilonGreedy
3.0,4.721533562087297,EpsilonGreedy
3.0,2.789635352817703,EpsilonGreedy
3.0,3.5942584083553446,EpsilonGreedy
3.0,3.421007658844047,EpsilonGreedy
3.0,3.3090847557485117,EpsilonGreedy
3.0,4.70440833710943,EpsilonGreedy
3.0,3.3027857451661036,EpsilonGreedy
3.0,2.288537741346361,EpsilonGreedy
3.0,4.633167810331057,EpsilonGreedy
3.0,3.651247689567855,EpsilonGreedy
3.0,5.019342788658098,EpsilonGreedy
3.0,4.2124638053700165,EpsilonGreedy
3.0,4.257902984039329,EpsilonGreedy
3.0,3.662109851254422,EpsilonGreedy
3.0,3.8769225696121428,EpsilonGreedy
3.0,4.055852888778429,EpsilonGreedy
2.0,3.9511333637272177,EpsilonGreedy
3.0,4.303390719724964,EpsilonGreedy
3.0,2.917965704953434,EpsilonGreedy
3.0,4.5667865620906145,EpsilonGreedy
3.0,3.997280628485433,EpsilonGreedy
3.0,2.9127240990682326,EpsilonGreedy
3.0,3.101821707613563,EpsilonGreedy
3.0,5.520316044351235,EpsilonGreedy
3.0,2.9291031710305635,EpsilonGreedy
3.0,4.173071379511383,EpsilonGreedy
3.0,2.6699819534044487,EpsilonGreedy
3.0,3.5344808480619383,EpsilonGreedy
3.0,3.6713202542321075,EpsilonGreedy
3.0,2.1013565169232358,EpsilonGreedy
3.0,4.306261063079396,EpsilonGreedy
3.0,4.661987594778088,EpsilonGreedy
3.0,3.483772033803222,EpsilonGreedy
3.0,4.564759206450488,EpsilonGreedy
3.0,4.121137865370353,EpsilonGreedy
3.0,2.079657108033998,EpsilonGreedy
3.0,4.663395846851217,EpsilonGreedy
3.0,2.803328545586784,EpsilonGreedy
3.0,5.511388964408132,EpsilonGreedy
3.0,3.6893279460416646,EpsilonGreedy
3.0,3.211077339750169,EpsilonGreedy
3.0,5.156959849201721,EpsilonGreedy
3.0,5.495383254144741,EpsilonGreedy
3.0,3.053869363116114,EpsilonGreedy
3.0,2.8971914172239943,EpsilonGreedy
3.0,3.788258826449378,EpsilonGreedy
3.0,5.672869615374983,EpsilonGreedy
3.0,3.4272886445811865,EpsilonGreedy
3.0,4.053008119021966,EpsilonGreedy
3.0,4.892154747688547,EpsilonGreedy
3.0,1.9137683267879808,EpsilonGreedy
3.0,5.294016800994826,EpsilonGreedy
3.0,3.3984144806379883,EpsilonGreedy
3.0,4.512139785997419,EpsilonGreedy
3.0,4.815380175614025,EpsilonGreedy
3.0,2.213564907406549,EpsilonGreedy
3.0,3.5660712291425916,EpsilonGreedy
3.0,4.989041194817086,EpsilonGreedy
3.0,2.0631196510609824,EpsilonGreedy
3.0,4.039238613746423,EpsilonGreedy
3.0,4.183102006434396,EpsilonGreedy
3.0,4.460929011343302,EpsilonGreedy
3.0,4.201665636574717,EpsilonGreedy
3.0,3.2207319485821655,EpsilonGreedy
3.0,4.955580700971079,EpsilonGreedy
3.0,3.564614552023979,EpsilonGreedy
3.0,3.5821930023868367,EpsilonGreedy
3.0,4.224057961103424,EpsilonGreedy
3.0,4.356575086716073,EpsilonGreedy
3.0,4.2214791191535275,EpsilonGreedy
3.0,4.771325012637109,EpsilonGreedy
3.0,3.312656511088857,EpsilonGreedy
3.0,3.2935790838764145,EpsilonGreedy
3.0,6.092041741377752,EpsilonGreedy
3.0,4.021034780905027,EpsilonGreedy
3.0,4.624642931518827,EpsilonGreedy
3.0,3.770324865335597,EpsilonGreedy
3.0,4.257216210169254,EpsilonGreedy
3.0,3.879873463447385,EpsilonGreedy
3.0,3.4458523322593266,EpsilonGreedy
3.0,5.726358509255782,EpsilonGreedy
3.0,4.974644820310996,EpsilonGreedy
3.0,3.4778728025689394,EpsilonGreedy
3.0,2.194130603099295,EpsilonGreedy
3.0,5.0547618017954035,EpsilonGreedy
3.0,2.8827220502575215,EpsilonGreedy
3.0,3.9341913306606546,EpsilonGreedy
3.0,3.847181214285929,EpsilonGreedy
3.0,4.284760701133512,EpsilonGreedy
3.0,4.91232363290338,EpsilonGreedy
3.0,3.872621779838655,EpsilonGreedy
3.0,3.099571873475454,EpsilonGreedy
3.0,2.9954248747539114,EpsilonGreedy
3.0,4.886856944057239,EpsilonGreedy
3.0,3.4181052006580392,EpsilonGreedy
3.0,3.8360016754137187,EpsilonGreedy
3.0,3.623344174860188,EpsilonGreedy
3.0,4.188797295248725,EpsilonGreedy
3.0,5.1550485724795525,EpsilonGreedy
3.0,4.330970474775305,EpsilonGreedy
3.0,4.218410845728503,EpsilonGreedy
3.0,4.962801002466507,EpsilonGreedy
3.0,3.151732273286591,EpsilonGreedy
3.0,3.713222427591391,EpsilonGreedy
3.0,5.91969496954329,EpsilonGreedy
3.0,2.391550757492674,EpsilonGreedy
3.0,3.495549864715195,EpsilonGreedy
3.0,3.711155373947611,EpsilonGreedy
3.0,3.1475126211683597,EpsilonGreedy
3.0,3.75859389704148,EpsilonGreedy
3.0,3.794683444500451,EpsilonGreedy
3.0,4.907458854327265,EpsilonGreedy
3.0,5.3529833153092925,EpsilonGreedy
3.0,4.8889127727312935,EpsilonGreedy
3.0,2.9283288843704796,EpsilonGreedy
3.0,2.9160112799141102,EpsilonGreedy
3.0,3.592966015552101,EpsilonGreedy
3.0,3.4612907626129514,EpsilonGreedy
3.0,4.081419049894867,EpsilonGreedy
3.0,4.695484221433227,EpsilonGreedy
3.0,4.257712303253607,EpsilonGreedy
3.0,3.101126600600887,EpsilonGreedy
3.0,5.483939997683351,EpsilonGreedy
3.0,6.289750821473618,EpsilonGreedy
3.0,3.144592196877065,EpsilonGreedy
3.0,5.8178323759572015,EpsilonGreedy
3.0,6.988894530240968,EpsilonGreedy
3.0,3.144804370260789,EpsilonGreedy
3.0,2.6625470163385745,EpsilonGreedy
3.0,5.527262256415663,EpsilonGreedy
3.0,4.9695716520490985,EpsilonGreedy
3.0,3.977110876647476,EpsilonGreedy
3.0,5.813643287547636,EpsilonGreedy
3.0,2.698203331470288,EpsilonGreedy
3.0,4.344735336840809,EpsilonGreedy
3.0,3.547951742395142,EpsilonGreedy
3.0,3.639087595470578,EpsilonGreedy
3.0,3.2188895301779303,EpsilonGreedy
3.0,4.861562728840206,EpsilonGreedy
3.0,1.4704002312957418,EpsilonGreedy
3.0,4.56843644807265,EpsilonGreedy
3.0,4.877925168449865,EpsilonGreedy
3.0,4.1868325276484635,EpsilonGreedy
3.0,5.226185235816478,EpsilonGreedy
3.0,4.860416347151905,EpsilonGreedy
3.0,4.00816646309539,EpsilonGreedy
3.0,4.425720607370369,EpsilonGreedy
3.0,3.834230443018317,EpsilonGreedy
3.0,4.57266469730977,EpsilonGreedy
3.0,2.909714160901419,EpsilonGreedy
3.0,2.0393107861146254,EpsilonGreedy
3.0,5.030863173999933,EpsilonGreedy
3.0,4.373593095340116,EpsilonGreedy
3.0,4.5386785468462625,EpsilonGreedy
3.0,2.847474426888855,EpsilonGreedy
3.0,4.3478626811302075,EpsilonGreedy
3.0,4.314756057610067,EpsilonGreedy
3.0,4.524320713809584,EpsilonGreedy
3.0,4.977232539388202,EpsilonGreedy
3.0,4.709697891169439,EpsilonGreedy
3.0,6.7963604084832205,EpsilonGreedy
3.0,1.9297821481380706,EpsilonGreedy
3.0,2.3643147867806507,EpsilonGreedy
3.0,3.1247018080061424,EpsilonGreedy
3.0,3.509815060971814,EpsilonGreedy
3.0,3.256612794103698,EpsilonGreedy
3.0,3.191080735872431,EpsilonGreedy
3.0,5.128606251937103,EpsilonGreedy
3.0,5.79947169639145,EpsilonGreedy
3.0,6.295267622149064,EpsilonGreedy
3.0,5.033126236310993,EpsilonGreedy
3.0,4.411137486197246,EpsilonGreedy
3.0,2.556392865974198,EpsilonGreedy
3.0,4.973089937500748,EpsilonGreedy
3.0,5.742222497902459,EpsilonGreedy
3.0,6.086843114276366,EpsilonGreedy
3.0,4.079478609440627,EpsilonGreedy
3.0,4.390075434796866,EpsilonGreedy
3.0,3.5874938768763265,EpsilonGreedy
3.0,3.2049621406937088,EpsilonGreedy
3.0,3.456889229409576,EpsilonGreedy
3.0,4.244855713664948,EpsilonGreedy
3.0,4.816391327553978,EpsilonGreedy
3.0,3.1600805501717253,EpsilonGreedy
3.0,4.625374687918784,EpsilonGreedy
3.0,2.9322442625162424,EpsilonGreedy
3.0,4.625591623705757,EpsilonGreedy
3.0,4.042968925895399,EpsilonGreedy
3.0,2.90688044872096,EpsilonGreedy
3.0,2.8420112431024744,EpsilonGreedy
3.0,4.930371525476746,EpsilonGreedy
3.0,2.3821014689036555,EpsilonGreedy
3.0,4.252423787487523,EpsilonGreedy
3.0,3.6323039418259246,EpsilonGreedy
3.0,2.3032966253388323,EpsilonGreedy
3.0,3.766492668267647,EpsilonGreedy
3.0,3.394356591433534,EpsilonGreedy
3.0,5.39134464984011,EpsilonGreedy
3.0,4.657658927623725,EpsilonGreedy
3.0,5.29652866493437,EpsilonGreedy
3.0,3.0407475171599394,EpsilonGreedy
3.0,5.158590808676243,EpsilonGreedy
3.0,4.520910873099894,EpsilonGreedy
3.0,3.321479424824188,EpsilonGreedy
3.0,5.236640023248945,EpsilonGreedy
3.0,3.239830011586168,EpsilonGreedy
3.0,4.743146797444809,EpsilonGreedy
3.0,2.509626949806921,EpsilonGreedy
3.0,3.9142046460725375,EpsilonGreedy
3.0,2.317264405373837,EpsilonGreedy
3.0,3.5319172253480344,EpsilonGreedy
3.0,3.175807115451203,EpsilonGreedy
3.0,4.005439523240243,EpsilonGreedy
3.0,4.686319000110902,EpsilonGreedy
3.0,3.267490421787179,EpsilonGreedy
3.0,5.030176736801642,EpsilonGreedy
3.0,4.3334379601124295,EpsilonGreedy
3.0,4.003596967548472,EpsilonGreedy
3.0,4.19564380926288,EpsilonGreedy
3.0,4.406470223852379,EpsilonGreedy
3.0,2.670223413991091,EpsilonGreedy
3.0,5.1278256329403025,EpsilonGreedy
3.0,4.784664354833014,EpsilonGreedy
3.0,2.9617017081878645,EpsilonGreedy
3.0,3.5676860309246257,EpsilonGreedy
3.0,3.741457694684117,EpsilonGreedy
3.0,2.1399253467724293,EpsilonGreedy
3.0,3.754471350140844,EpsilonGreedy
3.0,4.572740836123787,EpsilonGreedy
3.0,3.9865461955412824,EpsilonGreedy
3.0,5.9029582757915335,EpsilonGreedy
3.0,3.7938038225240547,EpsilonGreedy
3.0,4.3064040024285015,EpsilonGreedy
3.0,4.970768582464213,EpsilonGreedy
3.0,4.331599228114223,EpsilonGreedy
3.0,3.2247147284762394,EpsilonGreedy
3.0,5.882997996800053,EpsilonGreedy
3.0,4.191384676376945,EpsilonGreedy
3.0,1.9291847363427217,EpsilonGreedy
3.0,6.4357665114311455,EpsilonGreedy
3.0,5.37410751694552,EpsilonGreedy
3.0,4.9062324372451265,EpsilonGreedy
3.0,5.786873968892275,EpsilonGreedy
3.0,3.8883559124067886,EpsilonGreedy
3.0,4.1446582234733755,EpsilonGreedy
3.0,3.2865434446353894,EpsilonGreedy
3.0,4.090052582742287,EpsilonGreedy
3.0,2.948888526071847,EpsilonGreedy
3.0,4.180456174925672,EpsilonGreedy
3.0,4.085288055156447,EpsilonGreedy
3.0,5.809016039102793,EpsilonGreedy
3.0,2.4676295573154503,EpsilonGreedy
3.0,3.976034239604662,EpsilonGreedy
3.0,5.076761379394254,EpsilonGreedy
3.0,3.4233645403890187,EpsilonGreedy
3.0,4.793017078530216,EpsilonGreedy
3.0,1.8255044463958443,EpsilonGreedy
3.0,5.727769881928155,EpsilonGreedy
3.0,3.8183200016979564,EpsilonGreedy
3.0,4.922823775402644,EpsilonGreedy
3.0,3.301880616162068,EpsilonGreedy
3.0,3.0919366612072676,EpsilonGreedy
3.0,2.2434626700324727,EpsilonGreedy
3.0,4.906118228999876,EpsilonGreedy
3.0,4.468637593273535,EpsilonGreedy
3.0,4.217741135945945,EpsilonGreedy
3.0,4.295709024218572,EpsilonGreedy
3.0,4.707756629131499,EpsilonGreedy
3.0,4.254609418901999,EpsilonGreedy
3.0,2.7166744327618852,EpsilonGreedy
3.0,4.453006947286376,EpsilonGreedy
3.0,2.5232223954630273,EpsilonGreedy
3.0,3.546719362147684,EpsilonGreedy
3.0,5.647820543363559,EpsilonGreedy
3.0,4.160025816327169,EpsilonGreedy
3.0,4.984051474883399,EpsilonGreedy
3.0,5.01600819671082,EpsilonGreedy
3.0,5.896073935427465,EpsilonGreedy
3.0,5.17936166936306,EpsilonGreedy
3.0,4.312738446009451,EpsilonGreedy
3.0,5.634397569863715,EpsilonGreedy
3.0,5.2636825120812425,EpsilonGreedy
3.0,3.3224900253561933,EpsilonGreedy
3.0,4.234517258073226,EpsilonGreedy
3.0,3.5802484468596143,EpsilonGreedy
3.0,5.123815983482365,EpsilonGreedy
3.0,4.763069958337687,EpsilonGreedy
3.0,3.630116923269898,EpsilonGreedy
